"Filename","TotalNodes","TotalLeafNodes","NodeTypes","MaxDepth","MinDepth","AverageDepth","AverageLeafDepth"
"invoke-cradlecrafter_random_43.ps1","137","43","20","22","0","8.3","8.49"
"invoke-cradlecrafter_random_44.ps1","38","11","16","14","8","8.89","12"
"invoke-cradlecrafter_random_45.ps1","101","28","15","29","0","15.8","15.64"
"invoke-cradlecrafter_random_46.ps1","145","36","17","29","0","15.34","16.69"
"invoke-cradlecrafter_random_47.ps1","177","53","17","23","4","10.02","10.85"
"invoke-cradlecrafter_random_48.ps1","95","28","14","28","0","11.41","12.5"
"invoke-cradlecrafter_random_49.ps1","477","147","24","26","0","8.9","9.82"
"invoke-cradlecrafter_random_5.ps1","103","39","20","19","3","7.58","8.44"
"invoke-cradlecrafter_random_50.ps1","151","36","20","26","4","12.63","14.97"
"invoke-cradlecrafter_random_51.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_52.ps1","92","29","13","28","3","10.53","10.03"
"invoke-cradlecrafter_random_53.ps1","280","69","16","31","4","13.79","14.72"
"invoke-cradlecrafter_random_54.ps1","372","117","25","26","3","8.77","9.67"
"invoke-cradlecrafter_random_55.ps1","33","15","9","9","0","4.91","5.2"
"invoke-cradlecrafter_random_56.ps1","94","30","16","19","0","7.93","9"
"invoke-cradlecrafter_random_57.ps1","97","37","20","21","3","6.84","7.05"
"invoke-cradlecrafter_random_58.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_59.ps1","317","112","25","26","3","8","9.05"
"invoke-cradlecrafter_random_6.ps1","297","106","25","26","3","7.57","8.54"
"invoke-cradlecrafter_random_60.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_61.ps1","34","14","15","15","3","7.76","9"
"invoke-cradlecrafter_random_62.ps1","76","25","16","24","3","9.62","9.96"
"invoke-cradlecrafter_random_63.ps1","45","11","13","19","0","10.44","12.55"
"invoke-cradlecrafter_random_64.ps1","350","117","25","26","3","8.58","9.54"
"invoke-cradlecrafter_random_65.ps1","51","11","12","26","8","15.22","17.64"
"invoke-cradlecrafter_random_66.ps1","203","55","16","31","0","12.88","13.04"
"invoke-cradlecrafter_random_67.ps1","73","25","15","22","0","7.95","8.6"
"invoke-cradlecrafter_random_68.ps1","68","26","14","19","3","7.85","8.65"
"invoke-cradlecrafter_random_69.ps1","306","87","18","36","4","14.61","15.28"
"invoke-cradlecrafter_random_7.ps1","317","112","25","26","3","8","9.05"
"invoke-cradlecrafter_random_70.ps1","134","41","20","23","3","9.28","10.17"
"invoke-cradlecrafter_random_71.ps1","46","17","10","9","4","5.24","6.18"
"invoke-cradlecrafter_random_72.ps1","76","25","15","23","3","9.62","10.04"
"invoke-cradlecrafter_random_73.ps1","95","25","16","24","5","12.52","14.32"
"invoke-cradlecrafter_random_74.ps1","112","39","20","20","3","7.93","8.23"
"invoke-cradlecrafter_random_75.ps1","81","29","15","24","3","10.01","10.59"
"invoke-cradlecrafter_random_76.ps1","73","23","12","31","4","14.48","16.17"
"invoke-cradlecrafter_random_77.ps1","33","15","9","9","0","4.91","5.2"
"invoke-cradlecrafter_random_78.ps1","191","48","15","26","4","11.65","13.21"
"invoke-cradlecrafter_random_79.ps1","114","35","17","24","0","9.72","10.43"
"invoke-cradlecrafter_random_8.ps1","50","19","11","9","3","4.5","5.58"
"invoke-cradlecrafter_random_80.ps1","67","25","14","20","3","9.24","9.68"
"invoke-cradlecrafter_random_81.ps1","54","15","15","18","5","9.35","11.73"
"invoke-cradlecrafter_random_82.ps1","311","86","18","32","4","14.06","14.1"
"invoke-cradlecrafter_random_83.ps1","343","113","25","26","3","8.45","9.32"
"invoke-cradlecrafter_random_84.ps1","121","43","20","25","3","8.5","8.58"
"invoke-cradlecrafter_random_85.ps1","88","34","19","18","0","7.53","8.88"
"invoke-cradlecrafter_random_86.ps1","62","20","18","14","4","6.6","7.9"
"invoke-cradlecrafter_random_87.ps1","378","123","25","26","2","9","9.82"
"invoke-cradlecrafter_random_88.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_89.ps1","120","31","16","32","4","19.25","21.03"
"invoke-cradlecrafter_random_9.ps1","2091","1636","15","82","5","41.54","40.78"
"invoke-cradlecrafter_random_90.ps1","2115","1644","18","83","4","42.12","41.61"
"invoke-cradlecrafter_random_91.ps1","91","32","19","17","0","7.73","8.75"
"invoke-cradlecrafter_random_92.ps1","65","22","15","22","3","8.51","9.32"
"invoke-cradlecrafter_random_93.ps1","32","15","10","9","3","4.81","5.6"
"invoke-cradlecrafter_random_94.ps1","37","15","18","14","0","6.35","7.07"
"invoke-cradlecrafter_random_95.ps1","75","24","14","26","0","11.44","11.25"
"invoke-cradlecrafter_random_96.ps1","86","28","13","28","3","9.63","9.36"
"invoke-cradlecrafter_random_97.ps1","29","12","7","8","0","4.48","5"
"invoke-cradlecrafter_random_98.ps1","260","82","16","27","4","12.68","13.66"
"invoke-cradlecrafter_random_99.ps1","131","38","13","28","0","13.51","13.32"
